TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - Masina de frecat aspirat BR 40/25 C Bp Pack,1.515-304.0,"Masina de frecat - aspirat, condusa manual si actionata prin curent cu tehnica de cilindrii si o performanta de suprafata de 1600 m²/h. Pentru curatarea economica in detaliu si de intretinere si pentru polisarea suprafetelor de pana la 800 m².,Cod de comanda:1.515-304.0",Nou,,0.0,
Karcher - Masina de frecat aspirat BD 40/25 C Bp Pack,1.515-354.0,"Masina de frecat - aspirat, condusa manual si actionata prin baterii cu tehnica de cilindrii si o performanta de suprafata de 1600 m²/h. Pentru curatarea economica in detaliu si de intretinere si pentru polisarea suprafetelor de lana la 800 m².,Cod de comanda:1.515-354.0",Nou,,0.0,
Karcher - IVC 60/12-1 Ec H Z22,1.576-103.0,"Aspirator industrial compact cu suflanta laterala rezistenta pentru utilizare continua in zone de productie si zone cu cerinte igienice speciale (praf clasa H, ATEX zona 22 ),cod comanda: 1.576-103.0",Nou,La comanda,0.0,
Karcher - Aspirator industrial IVC 60/24-2 Ap,1.576-104.0,"Aspirator industrial entry-level compact si manevrabil. Cu sistem de curatare filtru semi-automat, roti mari si role franare. Ideal pentru utilaje si spatii de productie.,cod comanda: , ,1.576-104.0",Nou,La comanda,0.0,
Karcher - Aspirator industrial IVC 60/24-2 Tact²,1.576-100.0,"Aspirator industrial compact pentru curatarea zonei de productie si a utilajelor. Datorita rotilor mari si a rolelor pentru franat este usor de miscat si utilizabil mobil. Curatarea automata a filtruluiTACT² ofera o durata lunga de utilziare fara intreruperi.,cod comanda: 1.576-100.0",Nou,La comanda,0.0,
Karcher - Aspirator industrial IVC 60/24-2 Tact² M,1.576-105.0,"Aspirator industrial compact, manevrabil, cu sistem automat de curatare a filtrului ,Tact,². Ideal pentru utilaje si spatii de productie cu pulberi periculoase, clasa M.,cod comanda: 1.576-105.0",Nou,La comanda,0.0,
Karcher - Aspirator industrial IVC 60/12-1 Tact EC,1.576-102.0,"Aspirator industrial compact. Sistem automat de curatare filtru si motor CE fara uzura, pentru folosire continua. Ideal pentru pulberi fine din spatii de productie - si pentru uz stationar.,cod comanda: 1.576-102.0",Nou,,0.0,
Karcher - Aspirator industrial IVC 60/30 Ap,1.576-107.0,"Aspirator industrial compact pentru curatarea zonei de productie si a utilajelor. Datorita turbinei laterale foarte rezistente, este conceput pentru utilizare continua.,cod comanda: 1.576-107.0",Nou,La comanda,0.0,
Karcher - Aspirator de siguranta NT 75/1 Me Ec H Z22,1.667-239.0,"NT 75/1 Me Ec H Z22, testat TÜV, este un aspirator umed/uscat mai rezistent, cu un singur motor, pentru pulberi explozibile (clasa de pericol 22), cu sistem antistatic continuu.,cod comanda: 1.667-239.0",Nou,La comanda,0.0,
Karcher - Aspirator de siguranta NT 80/1 B1 M S,1.667-267.0,"Aspiratorul de siguranta NT 80/1 B1 MS este protejat impotriva exploziilor de praf cauzate de praful de pusca sau pulberea neagra.In plus, pulberile inflamabile si pulberile periculoase din categoria M trebuie aspirate imediat, deoarece acumularea acestora in depozite este periculoasa. Pentru aspirarea acestor pulberi, sunt necesare aspiratoare protejate impotriva exploziilor B1 precum NT 80/1 B1 MS (aprobare europeana conform 94/9 CE (ATTEX)).,cod comanda: 1.667-267.0",Nou,La comanda,0.0,
